SECTION,TOPIC,SYNTAX,TEXT,EXAMPLE,TEXT_ZH
Other Grammar,Options,"
{ [familyName .] name= value } [,...]
","
Sets a built-in Phoenix table property or an HBase table or column descriptor metadata attribute.
The name is case insensitive. If the name is a known HColumnDescriptor attribute, then the value
is applied to the specified column family or, if omitted, to all column families. Otherwise, the
HBase metadata attribute value is applied to the HTableDescriptor. Note that no validation is
performed on the property name or value, so unknown or misspelled options will end up as adhoc
metadata attributes values on the HBase table.

Built-in Phoenix table options include:

SALT_BUCKETS numeric property causes an extra byte to be transparently
prepended to every row key to ensure an evenly distributed read and write load across all
region servers. This is especially useful when your row key is always monotonically increasing
and causing hot spotting on a single region server. However, even if it's not, it often improves
performance by ensuring an even distribution of data across your cluster.  The byte is
determined by hashing the row key and modding it with the SALT_BUCKETS value. The value may
be from 0 to 256, with 0 being a special means of turning salting off for an index in which the
data table is salted (since by default an index has the same number of salt buckets as its
data table). If split points are not defined for the table, the table will automatically be pre-split
at each possible salt bucket value. For more information, see http://phoenix.incubator.apache.org/salted.html

DISABLE_WAL boolean option when true causes HBase not to write data to the write-ahead-log,
thus making updates faster at the expense of potentially losing data in the event of a region server
failure. This option is useful when updating a table which is not the source-of-truth and thus making
the lose of data acceptable.

IMMUTABLE_ROWS boolean option when true declares that your table has rows which are write-once,
append-only (i.e. the same row is never updated). With this option set, indexes added to
the table are managed completely on the client-side, with no need to perform incremental index
maintenance, thus improving performance. Deletes of rows in immutable tables are allowed with some
restrictions if there are indexes on the table. Namely, the WHERE clause may not filter on columns
not contained by every index. Upserts are expected to never update an existing row (failure to follow
this will result in invalid indexes). For more information, see http://phoenix.incubator.apache.org/secondary_indexing.html

MULTI_TENANT boolean option when true enables views to be created over the table across different
tenants. This option is useful to share the same physical HBase table across many different
tenants. For more information, see http://phoenix.incubator.apache.org/multi-tenancy.html

DEFAULT_COLUMN_FAMILY string option determines the column family used used when none
is specified. The value is case sensitive. If this option is not present, a column family
name of '0' is used.

STORE_NULLS boolean option (available as of Phoenix 4.3) determines whether or not null values should be
explicitly stored in HBase. This option is generally only useful if a table is configured to store multiple
versions in order to facilitate doing flashback queries (i.e. queries to look at the state of a record in the past).

TRANSACTIONAL option (available as of Phoenix 4.7) determines whether a table (and its
secondary indexes) are tranactional. The default value is FALSE, but may be overriden with the
phoenix.table.istransactional.default property. A table may be altered to become transactional,
but it cannot be transitioned back to be non transactional. For more information on transactions, see
http://phoenix.apache.org/transactions.html

UPDATE_CACHE_FREQUENCY option (available as of Phoenix 4.7) determines how often the server
will be checked for meta data updates (for example, the addition or removal of a table column or
the updates of table statistics). Possible values are ALWAYS (the default), NEVER, and a millisecond
numeric value. An ALWAYS value will cause the client to check with the server each time a statement
is executed that references a table (or once per commit for an UPSERT VALUES statement).  A millisecond
value indicates how long the client will hold on to its cached version of the metadata before checking
back with the server for updates.

APPEND_ONLY_SCHEMA boolean option (available as of Phoenix 4.8) when true declares that columns will only be added
but never removed from a table. With this option set we can prevent the RPC from the client to the server to fetch the
table metadata when the client already has all columns declared in a CREATE TABLE/VIEW IF NOT EXISTS statement.

AUTO_PARTITION_SEQ string option (available as of Phoenix 4.8) when set on a base table determines the sequence used
to automatically generate a WHERE clause with the first PK column and the unique identifier from the sequence for child
views. With this option set, we prevent allocating a sequence in the event that the view already exists.

The GUIDE_POSTS_WIDTH option (available as of Phoenix 4.9) enables specifying a different guidepost width per table. The guidepost width
determines the byte sized chunk of work over which a query will be parallelized. A value of 0 means that no guideposts should be collected
for the table. A value of null removes any table specific guidepost setting, causing the global server-side phoenix.stats.guidepost.width config
parameter to be used again. For more information, see the Statistics Collection page.
","
IMMUTABLE_ROWS=true
DEFAULT_COLUMN_FAMILY='a'
SALT_BUCKETS=10
DATA_BLOCK_ENCODING='NONE',a.VERSIONS=10
MAX_FILESIZE=2000000000,MEMSTORE_FLUSHSIZE=80000000
UPDATE_CACHE_FREQUENCY=300000
GUIDE_POSTS_WIDTH=30000000
CREATE SEQUENCE id;
CREATE TABLE base_table (partition_id INTEGER, val DOUBLE) AUTO_PARTITION_SEQ=id;
CREATE VIEW my_view AS SELECT * FROM base_table;
The view statement for my_view will be : WHERE partition_id =  1
","設定內建 Phoenix 資料表屬性，或 HBase 資料表與欄位描述元資料屬性。名稱不區分大小寫；若該名稱對應已知的 HColumnDescriptor 屬性，則其值將套用至指定的欄位族，若未指定則套用至所有欄位族；否則，HBase 的元資料屬性值將套用至 HTableDescriptor。請注意，系統不會對屬性名稱或值進行驗證，因此未知或拼寫錯誤的選項將成為 HBase 資料表上的臨時元資料屬性值。

內建 Phoenix 資料表選項包括：

SALT_BUCKETS（數值型）：此屬性會在每個列鍵前透明地附加一個額外位元組，以確保在所有區域伺服器之間實現均勻分散的讀取與寫入負載。當您的列鍵始終單調遞增並導致單一區域伺服器出現熱點問題時，此功能尤為有用。即使並非如此，它通常也能透過確保資料在整個叢集中的均勻分佈來提升效能。該位元組是透過對列鍵進行雜湊運算並對 SALT_BUCKETS 值取模來決定的。其取值範圍為 0 至 256，其中 0 具有特殊意義：用於關閉索引的加鹽功能（因為預設情況下，索引的加鹽桶數量與其資料表相同）。若未為資料表定義分割點，則系統會自動在每個可能的加鹽桶值處進行預先分割。更多資訊請參閱 http://phoenix.incubator.apache.org/salted.html

DISABLE_WAL（布林型）：當設為 true 時，HBase 將不將資料寫入寫入前日誌（WAL），從而加快更新速度，但代價是若區域伺服器發生故障，可能會導致資料遺失。此選項適用於更新並非唯一真相來源的資料表，此時資料遺失是可接受的。

IMMUTABLE_ROWS（布林型）：當設為 true 時，表示該資料表的列為一次寫入、僅可追加（即同一列絕不會被更新）。啟用此選項後，新增至資料表的索引將完全由客戶端管理，無需執行增量索引維護，從而提升效能。對於具有索引的不可變資料表，允許在特定限制下刪除列；具體而言，WHERE 子句不得篩選未包含於每個索引中的欄位。Upsert 操作預期不會更新現有列（若違反此規則將導致索引無效）。更多資訊請參閱 http://phoenix.incubator.apache.org/secondary_indexing.html

MULTI_TENANT（布林型）：當設為 true 時，允許在不同租戶之間建立跨越該資料表的視圖。此選項可用於讓多個不同租戶共享同一個實體 HBase 資料表。更多資訊請參閱 http://phoenix.incubator.apache.org/multi-tenancy.html

DEFAULT_COLUMN_FAMILY（字串型）：用於指定在未明確指定欄位族時所使用的預設欄位族名稱。此值區分大小寫。若未設定此選項，則使用名為 '0' 的欄位族。

STORE_NULLS（布林型，自 Phoenix 4.3 起可用）：決定是否應在 HBase 中明確儲存 null 值。此選項通常僅在資料表配置為儲存多個版本以支援閃回查詢（即檢視記錄過去狀態的查詢）時才有意義。

TRANSACTIONAL（選項，自 Phoenix 4.7 起可用）：決定資料表（及其次要索引）是否具有事務性。預設值為 FALSE，但可透過 phoenix.table.istransactional.default 屬性覆蓋。資料表可被修改以具備事務性，但無法再轉換回非事務狀態。關於事務的更多資訊請參閱 http://phoenix.apache.org/transactions.html

UPDATE_CACHE_FREQUENCY（選項，自 Phoenix 4.7 起可用）：決定伺服器多久檢查一次元資料更新（例如新增或移除資料表欄位、更新資料表統計資訊等）。可能的值包括 ALWAYS（預設）、NEVER，以及以毫秒為單位的數值。設定為 ALWAYS 時，客戶端會在執行任何引用該資料表的陳述式時與伺服器進行檢查（對於 UPSERT VALUES 陳述式則每次提交時檢查一次）。若設定為毫秒數值，則表示客戶端在持有其快取版本的元資料後，會等待多久才向伺服器查詢更新。

APPEND_ONLY_SCHEMA（布林型，自 Phoenix 4.8 起可用）：當設為 true 時，表示僅可向資料表新增欄位，絕不會移除欄位。啟用此選項後，可避免客戶端在已透過 CREATE TABLE/VIEW IF NOT EXISTS 陳述式宣告所有欄位的情況下，仍需向伺服器發出 RPC 以擷取資料表元資料。

AUTO_PARTITION_SEQ（字串型，自 Phoenix 4.8 起可用）：當設定於基礎資料表時，用於決定自動生成 WHERE 子句所使用的序列，該子句將包含第一個主鍵欄位以及來自序列的唯一識別碼，以用於建立子視圖。啟用此選項後，若視圖已存在，則可避免分配序列。

GUIDE_POSTS_WIDTH（選項，自 Phoenix 4.9 起可用）：允許為每個資料表指定不同的導航標記寬度。導航標記寬度決定了查詢將被並行化的工作區塊大小（以位元組計）。設定為 0 表示不為該資料表收集任何導航標記；設定為 null 則會移除該資料表的特定導航標記設定，並重新使用全域伺服器端配置參數 phoenix.stats.guidepost.width。更多資訊請參閱統計資訊收集頁面。"
Other Grammar,Hint,"
{ scanHint | indexHint | cacheHint | smallHint | joinHint | seekToColumnHint | serialHint } [,...]
","
An advanced features that overrides default query processing behavior for decisions such as
whether to use a range scan versus skip scan and an index versus no index. Note that strict
parsing is not done on hints. If hints are misspelled or invalid, they are silently ignored.

","
SKIP_SCAN,NO_INDEX
USE_SORT_MERGE_JOIN
NO_CACHE
INDEX(employee emp_name_idx emp_start_date_idx)
SMALL
",提示是一種進階功能，可覆蓋預設的查詢處理行為，用於決定是否採用範圍掃描或跳過掃描、使用索引或不使用索引等決策。請注意，提示不會進行嚴格解析；若提示拼寫錯誤或無效，系統將靜默忽略。
Other Grammar,Scan Hint,"
SKIP_SCAN | RANGE_SCAN
","
Use the SKIP_SCAN hint to force a skip scan to be performed on the query when
it otherwise would not be. This option may improve performance if a query does
not include the leading primary key column, but does include other, very
selective primary key columns.

Use the RANGE_SCAN hint to force a range scan to be
performed on the query. This option may improve performance if a query
filters on a range for non selective leading primary key column along
with other primary key columns

","
SKIP_SCAN
RANGE_SCAN
","使用 SKIP_SCAN 提示可強制對查詢執行跳過掃描，即使原本不會執行此操作。若查詢未包含主鍵的首個欄位，但包含了其他具有高選擇性的主鍵欄位時，此選項可能有助於提升效能。

使用 RANGE_SCAN 提示可強制對查詢執行範圍掃描。若查詢針對非高選擇性的主鍵首欄位進行範圍過濾，同時也包含其他主鍵欄位時，此選項可能有助於提升效能。"
Other Grammar,Cache Hint,"
NO_CACHE
","
Use the NO_CACHE hint to prevent the results of the query from populating the HBase block cache.
This is useful in situation where you're doing a full table scan and know that it's unlikely
that the rows being returned will be queried again.

","
NO_CACHE
",使用 NO_CACHE 提示可防止查詢結果填充 HBase 區塊快取。當執行全表掃描且已知返回的行不太可能再次被查詢時，此用法尤為適用。
Other Grammar,Index Hint,"
INDEX | NO_INDEX | USE_INDEX_OVER_DATA_TABLE | USE_DATA_OVER_INDEX_TABLE
","
Use the INDEX(<table_name> <index_name>...) to suggest which index to use for a given
query. Double quotes may be used to surround a table_name and/or index_name to make
them case sensitive. As of the 4.3 release, this will force an index to be used, even
if it doesn't contain all referenced columns, by joining back to the data table to
retrieve any columns not contained by the index.

Use the NO_INDEX hint to force the data table to be used for a query.

Use the USE_INDEX_OVER_DATA_TABLE hint to act as a tiebreaker for choosing the index
table over the data table when all other criteria are equal. Note that this is the
default optimizer decision.

Use the USE_DATA_OVER_INDEX_TABLE hint to act as a tiebreaker for choosing the data
table over the index table when all other criteria are equal.

","
INDEX(employee emp_name_idx emp_start_date_idx)
NO_INDEX
USE_INDEX_OVER_DATA_TABLE
USE_DATA_OVER_INDEX_TABLE
","使用 INDEX(<table_name> <index_name>...) 提示來建議查詢應使用的索引。可使用雙引號將表名和/或索引名括起來，使其區分大小寫。自 4.3 版本起，此提示會強制使用指定索引；即使該索引未包含所有被引用的欄位，系統也會透過回連至資料表來檢索索引中不包含的欄位。

使用 NO_INDEX 提示可強制查詢直接使用資料表。

使用 USE_INDEX_OVER_DATA_TABLE 提示作為在其它條件均相等時，優先選擇索引表而非資料表的決斷依據。請注意，這即是預設的最佳化器決策行為。

使用 USE_DATA_OVER_INDEX_TABLE 提示作為在其它條件均相等時，優先選擇資料表而非索引表的決斷依據。"
Other Grammar,Small Hint,"
SMALL
","
Use the SMALL hint to reduce the number of RPCs done between the client
and server when a query is executed. Generally, if the query is a point
lookup or returns data that is likely in a single data block (64 KB by
default), performance may improve when using this hint.

","
SMALL
",使用 SMALL 提示可在執行查詢時減少客戶端與伺服器之間的 RPC 次數。一般而言，若查詢為點查詢或返回的資料很可能位於單一資料區塊內（預設為 64 KB），使用此提示可提升效能。
Other Grammar,Seek To Column Hint,"
SEEK_TO_COLUMN | NO_SEEK_TO_COLUMN
","
Use the SEEK_TO_COLUMN hint to force the server to seek to navigate between columns instead of doing a next.
If there are many versions of the same column value or if there are many columns between the columns
that are projected, then this may be more efficient.

Use the NO_SEEK_TO_COLUMN hint to force the server to do a next to navigate between columns instead
of a seek. If there are few versions of the same column value or if the columns that are projected are
adjacent to each other, then this may be more efficient.

","
SEEK_TO_COLUMN
NO_SEEK_TO_COLUMN
","使用 SEEK_TO_COLUMN 提示詞可強制伺服器在列之間進行搜尋導航，而非執行 next 操作。當同一欄位值存在多個版本，或待投影的列之間夾雜許多其他列時，此方式可能更具效率。  
使用 NO_SEEK_TO_COLUMN 提示詞則可強制伺服器在列之間執行 next 操作，而非搜尋導航。若同一欄位值的版本較少，且待投影的列彼此相鄰時，此方式可能更具效率。"
Other Grammar,Join Hint,"
USE_SORT_MERGE_JOIN | NO_STAR_JOIN | NO_CHILD_PARENT_JOIN_OPTIMIZATION
","
Use the USE_SORT_MERGE_JOIN hint to force the optimizer to use a sort merge join instead of a
broadcast hash join when both sides of the join are bigger than will fit in the server-side memory.
Currently the optimizer will not make this determination itself, so this hint is required to override
the default behavior of using a hash join.

Use the NO_STAR_JOIN hint to prevent the optimizer from using the star join query to broadcast
the results of the querying one common table to all region servers. This is useful when the
results of the querying the one common table is too large and would likely be substantially
filtered when joined against one or more of the other joined tables.

Use the NO_CHILD_PARENT_JOIN_OPTIMIZATION hint to prevent the optimizer from doing point lookups
between a child table (such as a secondary index) and a parent table (such as the data table)
for a correlated subquery.

","
NO_STAR_JOIN
","使用 USE_SORT_MERGE_JOIN 提示詞，可強制優化器在連線兩側資料量均超過伺服器端記憶體容量時，採用排序合併連接（sort merge join）而非廣播雜湊連接（broadcast hash join）。目前優化器無法自行判斷是否應如此處理，因此必須透過此提示詞來覆蓋預設的雜湊連接行為。

使用 NO_STAR_JOIN 提示詞，可防止優化器採用星型查詢（star join query）將單一共用表的查詢結果廣播至所有區域伺服器。當該共用表的查詢結果過大，且在與一個或多個其他連線表進行關聯時預期會產生大幅過濾效果時，此提示詞尤為有用。

使用 NO_CHILD_PARENT_JOIN_OPTIMIZATION 提示詞，可防止優化器針對相關子查詢在子表（例如次要索引）與父表（例如資料表）之間執行點查詢（point lookups）。"
Other Grammar,Serial Hint,"
SERIAL
","
Use the SERIAL hint to force a query to be executed serially as opposed to being
parallelized along the guideposts and region boundaries.

","
SERIAL
",使用 SERIAL 提示詞可強制查詢以串行方式執行，而非依據導引標記與區域邊界進行並行化處理。
Other Grammar,Column Def,"
columnRef dataType [[NOT] NULL] [DEFAULT constantOperand]
[PRIMARY KEY [ASC | DESC] [ROW_TIMESTAMP]]
","
Define a new primary key column. The column name is case insensitive by default and
case sensitive if double quoted. The sort order of a primary key may be ascending (ASC)
or descending (DESC). The default is ascending. You may also specify a default value (Phoenix 4.9 or above) for the column
with a constant expression. If the column is the only column that forms the primary key, then it can
be designated as ROW_TIMESTAMP column provided its data type is one of these: BIGINT, UNSIGNED_LONG,
DATE, TIME and TIMESTAMP.

","
id char(15) not null primary key
key integer null
m.response_time bigint

created_date date not null primary key row_timestamp
key integer null
m.response_time bigint

",定義新的主鍵欄位。預設情況下，欄位名稱不區分大小寫；若使用雙引號括起則會區分大小寫。主鍵的排序順序可為升序（ASC）或降序（DESC），預設為升序。對於 Phoenix 4.9 及以上版本，您也可以使用常數表達式指定該欄位的預設值。若該欄位是構成主鍵的唯一欄位，且其資料類型為 BIGINT、UNSIGNED_LONG、DATE、TIME 或 TIMESTAMP 其中之一，則可將其指定為 ROW_TIMESTAMP 欄位。
Other Grammar,Table Ref,"
[schemaName .] tableName
","
References a table or view with an optional schema name qualifier
","
Sales.Contact
HR.Employee
Department
",引用具有可選模式名稱限定詞的表或視圖
Other Grammar,Sequence Ref,"
[schemaName .] sequenceName
","
References a sequence with an optional schema name qualifier
","
my_id_generator
my_seq_schema.id_generator
",引用具有可選圖表名稱限定詞的序列。
Other Grammar,Column Ref,"
[familyName .] columnName
","
References a column with an optional family name qualifier
","
e.salary
dept_name
",引用帶有可選家族名稱限定詞的欄位。
Other Grammar,Select Expression,"
* | ( familyName . *) | expression [ [ AS ] columnAlias ]
","
An expression in a SELECT statement. All columns in a table may be selected using
*, and all columns in a column family may be selected using <familyName>.*.
","
*
cf.*
ID AS VALUE
VALUE + 1 VALUE_PLUS_ONE
",SELECT 語句中的表達式。可使用 * 選取表中的所有欄位，或使用 <familyName>.* 選取欄位組中的所有欄位。
Other Grammar,Select Statement,"
SELECT [/*+ hint */] [DISTINCT | ALL] selectExpression [,...]
FROM tableSpec [ { [joinType] JOIN tableSpec ON expression } [...] ]
[ WHERE expression ]
[ GROUP BY expression [,...] ] [ HAVING expression ]
","
Selects data from a table.
DISTINCT filters out duplicate results while ALL, the default, includes all results.
FROM identifies the table being queried. Columns may be dynamically defined in parenthesis
after the table name and then used in the query. Joins are processed in reverse order through a
broadcast hash join mechanism. For best performance, order tables from largest to smallest in
terms of how many rows you expect to be used from each table.
GROUP BY groups the the result by the given expression(s).
HAVING filters rows after grouping.
An optional hint may be used to override decisions made by the query optimizer.

","
SELECT * FROM TEST;
SELECT DISTINCT NAME FROM TEST;
SELECT ID, COUNT(1) FROM TEST GROUP BY ID;
SELECT NAME, SUM(VAL) FROM TEST GROUP BY NAME HAVING COUNT(1) > 2;
SELECT d.dept_id,e.dept_id,e.name FROM DEPT d JOIN EMPL e ON e.dept_id = d.dept_id;
",SELECT 語句用於從表中檢索數據。DISTINCT 用於過濾重複結果，而 ALL（預設選項）則包含所有結果。FROM 子句指定被查詢的表；可在表名後以括號形式動態定義欄位並用於查詢。連接操作透過廣播哈希連接機制按逆序處理。為達到最佳效能，建議依據預期從各表中使用的行數，將表由大到小排列。GROUP BY 子句會根據給定的表達式對結果進行分組。HAVING 子句在分組後過濾行。此外，可使用可選提示來覆蓋查詢優化器所做的決策。
Other Grammar,Split Point,"
value | bindParameter

","
Defines a split point for a table. Use a bind parameter with
preparedStatement.setBinary(int,byte[]) to supply arbitrary bytes.
","
'A'
","定義表格的分割點。使用 bind 參數搭配 preparedStatement.setBinary(int, byte[]) 來提供任意位元組。"
Other Grammar,Table Spec,"
aliasedTableRef | ( select ) [ [ AS ] tableAlias ]
","
An optionally aliased table reference,
or an optionally aliased select statement in paranthesis.

","
PRODUCT_METRICS AS PM
PRODUCT_METRICS(referrer VARCHAR)
( SELECT feature FROM PRODUCT_METRICS ) AS PM
",一個可選別名的表引用，或括號內的可選別名 SELECT 陳述式。
Other Grammar,Aliased Table Ref,"
{ [ schemaName. ] tableName } [ [ AS ] tableAlias ] [( columnDef [,...] )]
[ TABLESAMPLE ({positiveDecimal}) ]
","
A reference to an optionally aliased table optionally followed by dynamic column definitions.

","
PRODUCT_METRICS AS PM
PRODUCT_METRICS(referrer VARCHAR)
PRODUCT_METRICS TABLESAMPLE (12.08)
",對可選別名的表的引用，後接可選的動態欄位定義。
Other Grammar,Join Type,"
INNER | {  { LEFT | RIGHT } [OUTER] }
","
The type of join

","
INNER
LEFT OUTER
RIGHT
",連線類型
Other Grammar,Func Argument,"
dataType [CONSTANT] [DEFUALTVALUE=string] [MINVALUE=string] [MAXVALUE=string]
","
The function argument is sql data type. It can be constant and also we can provide default,min and max values for the argument in single quotes.
","
VARCHAR
INTEGER DEFAULTVALUE='100'
INTEGER CONSTANT DEFAULTVALUE='10' MINVALUE='1' MAXVALUE='15'
",函數參數的資料類型為 SQL。該參數可以是常數，也可以以單引號提供預設值、最小值和最大值。
Other Grammar,Class Name,"
{String}
","
Canonical class name in single quotes.
","
'com.mypackage.MyReverseFunction'
",以單引號括起的標準類別名稱。
Other Grammar,Jar Path,"
{String}
","
Hdfs path of jar in single quotes.
","
'hdfs://localhost:8080:/hbase/lib/myjar.jar'
'/tmp/lib/myjar.jar'
",以單引號標記的 JAR 檔案 HDFS 路徑。
Other Grammar,Order,"
{ expression } [ ASC | DESC ] [ NULLS { FIRST | LAST } ]
","
Sorts the result by an expression.
","
NAME DESC NULLS LAST
",根據表達式對結果進行排序。
Other Grammar,Expression,"
andCondition [ { OR andCondition } [...] ]
","
Value or condition.
","
ID=1 OR NAME='Hi'
",價值或條件。
Other Grammar,And Condition,"
booleanCondition [ { AND booleanCondition } [...] ]
","
Condition separated by AND.
","
FOO!='bar' AND ID=1
",以 AND 分隔的條件。
Other Grammar,Boolean Condition,"
[NOT] condition
","
Boolean condition.
","
ID=1 AND NAME='Hi'
",布林條件
Other Grammar,Condition,"
operand [ { = | < | > | <= | >= | <> | != } { rhsOperand }
    | { LIKE | ILIKE } operand
    | IS [ NOT ] NULL
    | [ NOT ] { IN ( { select | { constantOperand [,...] } } )
    | EXISTS ( select )
    | BETWEEN operand AND operand } ]
","
Boolean value or condition.
When comparing with LIKE, the wildcards characters are ""_"" (any one character)
and ""%"" (any characters). ILIKE is the same, but the search is case insensitive.
To search for the characters ""%"" and
""_"", the characters need to be escaped. The escape character is "" \ "" (backslash).
Patterns that end with an escape character are invalid and the expression returns NULL.
BETWEEN does an inclusive comparison for both operands.
","
FOO = 'bar'
NAME LIKE 'Jo%'
IN (1, 2, 3)
NOT EXISTS (SELECT 1 FROM FOO WHERE BAR < 10)
N BETWEEN 1 and 100
",布林值或條件。與 LIKE 比較時，通配符字元為「_」（代表任意單一字元）和「%」（代表任意字元串）。ILIKE 的行為相同，但搜尋時不區分大小寫。若要搜尋字元「%」和「_」，則需對其進行轉義；轉義字元為反斜線「\」。若模式以轉義字元結尾，則該模式無效，表達式將回傳 NULL。BETWEEN 運算子會對兩個操作數執行包含性比較。
Other Grammar,RHS Operand,"
operand | { ANY | ALL } ( { operand | select } )
","
Right-hand side operand
","
s.my_col
ANY(my_col + 1)
ALL(select foo from bar where bas > 5)
",右側運算元
Other Grammar,Operand,"
summand [ { || } summand [...] ]
","
A string concatenation.
","
'foo'|| s
",字串連接運算子。
Other Grammar,Summand,"
factor [ { + | - } factor [...] ]
","
An addition or subtraction of numeric or date type values
","
a + b
a - b
",數值或日期類型值的加法或減法運算
Other Grammar,Factor,"
term [ { * | / | % } term [...] ]
","
A multiplication, division, or modulus of numeric type values.
","
c * d
e / 5
f % 10
",數值類型值的乘法、除法或取餘運算。
Other Grammar,Term,"
{ value
    | ( expression )
    | bindParameter
    | function
    | case
    | caseWhen
    | [ tableAlias. ] columnRef
    | rowValueConstructor
    | cast
    | sequence
    | arrayConstructor } [ '[' expression ']' ]
","
A term which may use subscript notation if it's an array.
","
'Hello'
23
my_array[my_index]
array_col[1]
",一個可能在使用陣列時採用下標表示法的術語。
Other Grammar,Array Constructor,"
ARRAY '[' expression [,...] ']'
","
Constructs an ARRAY out of the list of expressions.
","
ARRAY[1.0,2.2,3.3]
ARRAY['foo','bas']
ARRAY[col1,col2,col3+1,?]
",根據表達式列表建立陣列。
Other Grammar,Sequence,"
{NEXT | CURRENT} { VALUE | {number VALUES} } FOR sequenceRef
","
Gets the CURRENT or NEXT value for a sequence, a monotonically incrementing BIGINT
value. Each call to NEXT VALUE FOR increments the sequence value and returns the current value.
The NEXT <n> VALUES syntax may be used to reserve <n> consecutive sequence values.
A sequence is only increment once for a given statement, so multiple references to
the same sequence by NEXT VALUE FOR produce the same value. Use CURRENT VALUE FOR to
access the last sequence allocated with NEXT VALUE FOR for cluster connection of your
client. If no NEXT VALUE FOR had been previously called, an error will occur. These
calls are only allowed in the SELECT expressions or UPSERT VALUES expressions.
","
NEXT VALUE FOR my_table_id
NEXT 5 VALUES FOR my_table_id
CURRENT VALUE FOR my_schema.my_id_generator
",取得序列的當前值或下一個值，該值為單調遞增的大整數。每次呼叫「NEXT VALUE FOR」都會將序列值加一並回傳當前值。可使用「NEXT <n> VALUES」語法來預留連續的 <n> 個序列值。對於同一陳述式，序列僅會增加一次，因此多次透過「NEXT VALUE FOR」引用相同序列時，所產生的值亦相同。若要存取客戶端群組連線中最後由「NEXT VALUE FOR」分配的序列值，請使用「CURRENT VALUE FOR」。若先前未曾呼叫「NEXT VALUE FOR」，則將發生錯誤。這些呼叫僅允許用於 SELECT 表達式或 UPSERT VALUES 表達式中。
Other Grammar,Cast,"
CAST ( expression AS dataType )
","
The CAST operator coerces the given expression to a different dataType. This
is useful, for example, to convert a BIGINT or INTEGER to a DECIMAL or DOUBLE
to prevent truncation to a whole number during arithmetic operations. It is
also useful to coerce from a more precise type to a less precise type since
this type of coercion will not automatically occur, for example from a TIMESTAMP
to a DATE. If the coercion is not possible, an error will occur.
","
CAST ( my_int AS DECIMAL )
CAST ( my_timestamp AS DATE )
",CAST 運算子會將給定的表達式轉換為不同的資料類型。例如，此功能可用於將 BIGINT 或 INTEGER 轉換為 DECIMAL 或 DOUBLE，以避免在算術運算時被截斷為整數。此外，當需要從精確度較高的類型轉換至精確度較低的類型時（例如從 TIMESTAMP 轉換為 DATE），也需使用此運算子，因為這類型的自動轉換不會發生。若無法進行轉換，則會產生錯誤。
Other Grammar,Row Value Constructor,"
( expression { ,expression } [...] )
","
A row value constructor is a list of other terms which are treated together as
a kind of composite structure. They may be compared to each other or to other
other terms. The main use case is 1) to enable efficiently stepping through
a set of rows in support of query-more type functionality, or 2) to allow
IN clause to perform point gets on composite row keys.
","
(col1, col2, 5)
",行值建構子是一組被視為整體的複合結構的其他術語。它們可相互比較，也可與其他術語進行比較。其主要用途包括：1) 支援查詢類型的功能，以高效地遍歷一組資料列；或 2) 允許 IN 子句針對複合行鍵執行點讀取操作。
Other Grammar,Bind Parameter,"
?
    | :number
","
A parameters can be indexed, for example "":1"" meaning the first parameter.
","
:1
?
",參數可以透過索引來指定，例如使用「:1」代表第一個參數。
Other Grammar,Value,"
string | numeric | boolean | null
","
A literal value of any data type, or null.
","
10
",任何資料類型的字面值，或是 null。
Other Grammar,Case,"
CASE term { WHEN expression THEN term } [...]
[ ELSE expression ] END
","
Returns the first expression where the value is equal to the test expression. If
no else part is specified, return NULL.
","
CASE CNT WHEN 0 THEN 'No' WHEN 1 THEN 'One' ELSE 'Some' END
",返回第一個值等於測試表達式的表達式；若未指定 else 部分，則返回 NULL。
Other Grammar,Case When,"
CASE { WHEN expression THEN term} [...]
[ ELSE term ] END
","
Returns the first expression where the condition is true. If no else part is
specified, return NULL.
","
CASE WHEN CNT<10 THEN 'Low' ELSE 'High' END
",返回條件為真時的第一個表達式；若未指定 else 子句，則返回 NULL。
Other Grammar,Name,"
{ { A-Z|_  } [ { A-Z|_|0-9 } [...] ] } | quotedName
","
Unquoted names are not case sensitive. There is no maximum name length.
","
my_column
",未加引號的名稱不區分大小寫，且沒有名稱長度上限。
Other Grammar,Quoted Name,"
""anythingExceptDoubleQuote""
","
Quoted names are case sensitive, and can contain spaces. There is no maximum
name length. Two double quotes can be used to create a single double quote
inside an identifier.
","
""first-name""
",引號名稱區分大小寫，且可包含空格。名稱長度無上限。在標識符內部可使用兩個雙引號來表示一個單個雙引號。
Other Grammar,Alias,"
name
","
An alias is a name that is only valid in the context of the statement.
","
A
",別名僅在語句上下文中有效。
Other Grammar,Null,"
NULL
","
NULL is a value without data type and means 'unknown value'.
","
NULL
",NULL 是一個沒有資料類型的值，代表「未知值」。
Other Grammar,Data Type,"
{ sqlDataType | hbaseDataType } [ ARRAY [ '[' [ dimensionInt ] ']' ] ]
","
A type name optionally declared as an array. An array is mapped to ""java.sql.Array"".
Only single dimension arrays are supported and varbinary arrays are not allowed.
","
CHAR(15)
VARCHAR
DECIMAL(10,2)
DOUBLE
DATE
VARCHAR ARRAY
CHAR(10) ARRAY [5]
INTEGER []
",類型名稱可選地宣告為陣列。該陣列對應至「java.sql.Array」。僅支援單維度陣列，不允許使用 varbinary 陣列。
